	01_St1_D1	02_St1_D15	03_St1_D45	04_St2_D1	05_St2_D15	06_St2_D45	07_St3_D1	08_St3_D15	09_St3_D45	10_St4_D1	11_St4_D15	12_St4_D45	13_St5_D1	14_St5_D15	15_St5_D45	16_St6_D1	17_St6_D15	18_St6_D45	19_St7_D1	20_St7_D15	21_St7_D45	22_St8_D1	23_St8_D15	24_St8_D45	25_St9_D1	26_St10_D1	27_St10_D15	28_St10_D45	29_St11_D1	30_St11_D15	31_St11_D45	32_St12_D1	33_St12_D15	34_St12_D45	35_St13_D1	36_St13_D15	37_St13_D45	38_St14_D1	39_St14_D15	40_St14_D45	41_St15_D1	42_St15_D15	43_St15_D45	44_St16_D1	45_St16_D15	46_St16_D45	47_St17_D1	48_St17_D15	49_St17_D45	50_St18_D1	51_St18_D15	52_St18_D45	53_St19_D1	54_St19_D15	55_St19_D45	56_St20_D1	57_St20_D15	58_St20_D45	59_St21_D1	60_St21_D15	61_St21_D45	62_St22_D1	63_St22_D15	64_St22_D45
ASV54	638	4277	8620	494	2804	3445	541	1311	4549	818	2862	7082	504	511	988	349	864	893	643	689	755	240	368	576	1840	724	787	1678	799	1082	1618	683	784	1835	811	462	432	648	263	424	328	182	280	404	337	420	1755	1482	3254	476	1621	1464	433	1564	1489	39	1264	1051	289	984	588	53	219	1631
ASV55	188	901	18	93	3011	6	401	1666	3	498	1306	9	10273	7261	141	10729	1733	242	11353	2056	53	3799	608	0	18	30	10	0	159	111	0	137	190	33	450	727	55	401	1546	71	334	127	9	1021	1165	23	485	12	8	3339	12	3	1860	45	37	2095	1459	6	4962	1812	19	30	6	0
ASV56	224	920	1424	282	824	592	289	842	1022	527	2023	1527	589	1104	1988	506	1434	2168	705	1659	2187	1014	1146	1045	2110	1333	1890	3023	758	1070	2344	439	666	1857	567	522	2234	621	748	1208	712	485	553	735	633	1318	773	2121	1224	211	2500	2363	271	2009	3874	123	1440	1648	392	1445	1877	364	1141	2910
ASV57	9780	604	206	13213	603	119	7841	639	169	8231	495	140	1344	699	526	1024	1674	1251	1022	722	546	1084	977	434	14	70	82	8	256	159	21	249	285	247	726	351	390	829	616	459	342	231	22	844	641	341	24	3	0	1527	13	36	1393	18	282	7043	248	65	1088	401	155	16	17	39
ASV58	264	85	68	731	83	22	351	70	35	474	113	46	73	48	2	74	16	2	51	14	4	0	1	0	3633	2455	2374	731	1511	1247	529	1095	1417	547	1943	699	253	2212	857	55	26	1	1	489	60	21	1151	673	652	13003	654	706	7299	710	763	3181	970	399	1911	1354	429	7969	3184	222
ASV59	1321	1362	582	1216	949	472	1068	4518	1251	833	1131	452	2368	2266	1083	4146	11011	2647	1700	2288	2101	1201	1649	1437	46	21	42	60	30	37	27	54	61	156	44	80	385	50	597	812	1315	114	17	2652	1922	358	126	260	279	419	139	133	582	205	347	1765	1466	79	409	1308	161	36	105	496
ASV60	194	595	2077	331	330	638	235	496	923	211	308	485	784	817	1848	655	1326	2643	803	741	2208	1917	2361	2425	1466	972	867	929	519	614	816	515	635	1029	431	240	439	325	332	744	452	219	247	323	298	508	2999	2219	2516	229	1637	971	385	1691	1227	1619	2409	1064	1660	1805	463	1984	1516	409
ASV61	138	827	2364	142	1004	835	340	1347	1091	235	636	1186	1174	1374	670	1077	1751	973	1277	867	598	1166	1010	485	6004	1170	961	1060	180	268	885	297	447	1061	194	376	773	181	543	794	714	366	292	548	424	643	314	1641	943	326	2170	1125	426	2775	1925	71	3274	887	497	1681	774	91	285	4746
ASV62	7550	41	153	30316	60	11	10912	86	19	7449	22	12	175	10	0	146	3	0	7	4	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	8	0	2	12	2	3	400	5	0	4913	94	3	255	9	0	285	9	0
ASV63	2666	930	954	3046	1353	382	2219	745	496	3416	2124	822	798	624	557	604	702	735	675	552	641	720	811	449	834	949	767	876	819	804	679	625	954	740	731	911	639	947	762	352	139	30	12	578	306	266	1844	1037	1234	645	1144	737	1163	1114	827	2938	1426	518	1465	1009	661	691	775	955
